USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
dinnie      1130  0.0  0.1   9252  4408 ?        S    Oct26   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 12 --address=unix:path=/run/user/1000/at-spi/bus_0
dinnie      1140  0.0  0.1 170440  6684 ?        Sl   Oct26   0:01 /usr/libexec/at-spi2-registryd --use-gnome-session
dinnie      1148  0.0  0.0  10244  2772 ?        Ss   Oct26   0:00 /usr/bin/ssh-agent -s
dinnie      1157  0.0  0.0 155192  2872 ?        SLsl Oct26   0:01 /usr/bin/gpg-agent --supervised
dinnie      1160  0.1  1.1 892308 45564 ?        Sl   Oct26   2:16 xfwm4
dinnie      1165  0.0  0.1 313900  6816 ?        Ssl  Oct26   0:00 /usr/libexec/gvfsd
dinnie      1171  0.0  0.1 399520  6580 ?        Sl   Oct26   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
dinnie      1186  0.0  0.4 354628 18476 ?        Sl   Oct26   0:02 xfsettingsd
dinnie      1192  0.0  0.1 165948  5776 ?        Ssl  Oct26   0:00 /usr/libexec/dconf-service
dinnie      1193  0.0  1.1 528656 47804 ?        Sl   Oct26   0:12 xfce4-panel
dinnie      1202  0.0  1.2 588136 49108 ?        Sl   Oct26   0:09 Thunar --daemon
dinnie      1209  0.0  1.0 515984 41056 ?        Sl   Oct26   0:01 xfdesktop
dinnie      1214  0.0  0.8 507820 33376 ?        Sl   Oct26   0:03 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 16777223 whiskermenu Whisker Menu Show a menu to easily access installed applications
dinnie      1219  0.0  0.4 426820 18160 ?        Sl   Oct26   0:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libsystray.so 14 16777229 systray Status Tray Plugin Provides status notifier items (application indicators) and legacy systray items
dinnie      1220  0.2  0.4 278960 19348 ?        Sl   Oct26   3:13 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libgenmon.so 15 16777230 genmon Generic Monitor Show output of a command.
dinnie      1221  0.0  0.5 364856 20308 ?        Sl   Oct26   0:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 16 16777231 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
dinnie      1222  0.0  0.5 429948 20152 ?        Sl   Oct26   0:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 17 16777232 notification-plugin Notification Plugin Notification plugin for the Xfce panel
